"Cód.Município","Municipio","2006",,"2008",,"2009",,"2011",,"2012",,"2013",,"2014",,"2015",,"2016",,"2017",,"2018",,"2019",,"2020",,"2021",,"2024",,"2025",
"MU","3542305","Redenção da Serra (SP)","4076","Pessoas","4230","Pessoas","4245","Pessoas","3860","Pessoas","3847","Pessoas","3952","Pessoas","3941","Pessoas","3930","Pessoas","3919","Pessoas","3908","Pessoas","3863","Pessoas","3851","Pessoas","3839","Pessoas","3827","Pessoas","4611","Pessoas","4637","Pessoas"
"MU","3544301","Roseira (SP)","10321","Pessoas","9446","Pessoas","9527","Pessoas","9678","Pessoas","9754","Pessoas","10168","Pessoas","10257","Pessoas","10344","Pessoas","10429","Pessoas","10512","Pessoas","10621","Pessoas","10712","Pessoas","10801","Pessoas","10888","Pessoas","11095","Pessoas","11137","Pessoas"
"MU","3546009","Santa Branca (SP)","15009","Pessoas","13811","Pessoas","13881","Pessoas","13821","Pessoas","13877","Pessoas","14395","Pessoas","14465","Pessoas","14534","Pessoas","14601","Pessoas","14667","Pessoas","14717","Pessoas","14788","Pessoas","14857","Pessoas","14925","Pessoas","14212","Pessoas","14219","Pessoas"
"MU","3548203","Santo Antônio do Pinhal (SP)","7047","Pessoas","6849","Pessoas","6896","Pessoas","6499","Pessoas","6510","Pessoas","6733","Pessoas","6750","Pessoas","6767","Pessoas","6784","Pessoas","6800","Pessoas","6794","Pessoas","6811","Pessoas","6827","Pessoas","6843","Pessoas","7294","Pessoas","7314","Pessoas"
"MU","3548609","São Bento do Sapucaí (SP)","11582","Pessoas","10918","Pessoas","10966","Pessoas","10477","Pessoas","10486","Pessoas","10831","Pessoas","10848","Pessoas","10864","Pessoas","10880","Pessoas","10895","Pessoas","10862","Pessoas","10878","Pessoas","10893","Pessoas","10907","Pessoas","11948","Pessoas","11989","Pessoas"
"MU","3549607","São José do Barreiro (SP)","4298","Pessoas","4461","Pessoas","4490","Pessoas","4072","Pessoas","4068","Pessoas","4190","Pessoas","4188","Pessoas","4185","Pessoas","4183","Pessoas","4181","Pessoas","4151","Pessoas","4147","Pessoas","4144","Pessoas","4141","Pessoas","3898","Pessoas","3888","Pessoas"
"MU","3549904","São José dos Campos (SP)","610965","Pessoas","609229","Pessoas","615871","Pessoas","636876","Pessoas","643603","Pessoas","673255","Pessoas","681036","Pessoas","688597","Pessoas","695992","Pessoas","703219","Pessoas","713943","Pessoas","721944","Pessoas","729737","Pessoas","737310","Pessoas","724756","Pessoas","727078","Pessoas"
"MU","3550001","São Luiz do Paraitinga (SP)","10804","Pessoas","10872","Pessoas","10908","Pessoas","10395","Pessoas","10393","Pessoas","10721","Pessoas","10726","Pessoas","10731","Pessoas","10735","Pessoas","10740","Pessoas","10684","Pessoas","10687","Pessoas","10690","Pessoas","10693","Pessoas","10497","Pessoas","10487","Pessoas"
"MU","3550704","São Sebastião (SP)","75886","Pessoas","72236","Pessoas","73631","Pessoas","75163","Pessoas","76344","Pessoas","80379","Pessoas","81718","Pessoas","83020","Pessoas","84294","Pessoas","85538","Pessoas","87596","Pessoas","88980","Pessoas","90328","Pessoas","91637","Pessoas","84019","Pessoas","84280","Pessoas"
"MU","3552007","Silveiras (SP)","5721","Pessoas","5803","Pessoas","5841","Pessoas","5824","Pessoas","5855","Pessoas","6083","Pessoas","6121","Pessoas","6158","Pessoas","6193","Pessoas","6228","Pessoas","6264","Pessoas","6302","Pessoas","6339","Pessoas","6375","Pessoas","6313","Pessoas","6329","Pessoas"
"MU","3554102","Taubaté (SP)","271660","Pessoas","270918","Pessoas","273426","Pessoas","281336","Pessoas","283899","Pessoas","296431","Pessoas","299423","Pessoas","302331","Pessoas","305174","Pessoas","307953","Pessoas","311854","Pessoas","314924","Pessoas","317915","Pessoas","320820","Pessoas","321298","Pessoas","322397","Pessoas"
"MU","3554805","Tremembé (SP)","40182","Pessoas","40601","Pessoas","41159","Pessoas","41457","Pessoas","41915","Pessoas","43871","Pessoas","44399","Pessoas","44912","Pessoas","45414","Pessoas","45904","Pessoas","46642","Pessoas","47185","Pessoas","47714","Pessoas","48228","Pessoas","53083","Pessoas","53426","Pessoas"
