DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2021
"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"352930 MATAO";-;-;1;3;-;-;2;1;1;1;-;-;-;9
"352940 MAUA";-;1;2;4;24;17;9;1;1;2;-;2;1;64
"352950 MENDONCA";-;-;2;3;4;6;7;-;-;1;1;1;-;25
"352960 MERIDIANO";-;70;109;60;52;8;2;-;-;-;-;-;1;302
"352965 MESOPOLIS";-;-;1;3;6;15;24;25;24;29;10;14;33;184
"352980 MINEIROS DO TIETE";-;-;2;3;4;8;2;1;-;-;-;2;-;22
"352990 MIRACATU";-;-;2;41;74;44;6;-;-;-;-;-;-;167
"353000 MIRA ESTRELA";-;2;16;31;53;20;9;1;-;2;-;1;-;135
"353010 MIRANDOPOLIS";-;13;33;101;168;134;80;27;9;8;10;13;7;603
"353020 MIRANTE DO PARANAPANEMA";-;1;3;16;14;7;7;-;-;-;-;-;-;48
"353030 MIRASSOL";-;-;8;31;47;2;5;3;1;1;-;-;-;98
"353040 MIRASSOLANDIA";-;4;30;30;36;-;-;-;-;-;-;-;1;101
"353050 MOCOCA";-;1;-;4;2;-;-;-;-;-;-;1;-;8
"353060 MOGI DAS CRUZES";-;2;1;13;37;42;18;3;1;1;2;-;1;121
"353070 MOGI GUACU";-;3;9;15;24;18;-;-;-;1;2;1;4;77
"353080 MOGI MIRIM";-;22;5;8;14;13;13;3;2;5;5;5;3;98
"353090 MOMBUCA";-;3;23;37;17;7;1;-;-;-;-;-;-;88
"353100 MONCOES";-;-;-;4;12;18;19;2;1;-;-;-;14;70
"353110 MONGAGUA";-;25;34;68;347;41;1;2;-;-;-;-;-;518
"353120 MONTE ALEGRE DO SUL";-;-;-;2;1;-;-;-;-;-;-;-;-;3
"353130 MONTE ALTO";-;-;1;1;7;4;2;-;-;1;-;1;-;17
"353140 MONTE APRAZIVEL";-;-;2;6;20;40;6;4;-;1;-;-;1;80
"353150 MONTE AZUL PAULISTA";-;-;-;-;3;2;-;-;-;-;-;-;-;5
"353160 MONTE CASTELO";-;-;1;-;2;1;-;-;-;-;1;-;1;6
"353180 MONTE MOR";-;1;6;82;134;23;3;-;-;-;-;-;-;249
"353190 MORRO AGUDO";-;4;1;2;-;1;-;1;-;-;-;1;-;10
"353200 MORUNGABA";-;2;2;1;-;-;-;-;-;-;-;-;-;5
"353205 MOTUCA";-;-;-;-;-;-;1;-;-;-;-;2;-;3
"353210 MURUTINGA DO SUL";-;-;8;23;61;63;27;-;-;-;-;-;-;182
"353215 NANTES";-;-;1;1;-;-;-;-;-;-;-;-;-;2
"353220 NARANDIBA";-;-;-;3;12;7;1;1;-;-;-;-;-;24
"353240 NAZARE PAULISTA";-;-;-;-;1;-;-;-;-;-;-;-;1;2
"353250 NEVES PAULISTA";-;1;3;4;13;11;12;6;2;-;1;-;-;53
"353260 NHANDEARA";-;3;9;37;54;29;10;5;2;2;-;1;15;167
"353270 NIPOA";-;-;-;1;2;3;8;2;2;-;1;4;2;25
"353280 NOVA ALIANCA";-;2;6;35;55;95;36;5;4;5;9;-;2;254
"353282 NOVA CAMPINA";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"353286 NOVA CASTILHO";-;-;-;1;-;-;-;-;-;-;-;-;9;10
"353290 NOVA EUROPA";-;11;8;3;1;1;1;1;-;-;-;6;-;32
"353300 NOVA GRANADA";-;8;7;12;54;84;31;5;3;2;3;16;32;257
"353310 NOVA GUATAPORANGA";-;-;-;1;-;-;1;5;8;3;1;19;76;114
